event_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,defense_label,hold_flag,failed_hold_flag,defense_unresolved_flag,reversal_strength_pct,max_rejection_excursion,max_penetration_excursion,bars_to_reversal,close_back_from_edge_flag,zone_defense_score
NVDA::20250905::support::4::breakout_down::2025-09-08T00:00:00,NVDA,NVDA::20250905::support::4,"NVDA::support::171.3800::3.5850::avwap_D,vp_D,vp_W::D,W",2025-09-08,breakout_down,down,168.30999755859375,169.5856093978882,-0.007521934460261617,86,1,86,1,1,False,1.0,3.0,composite,support,"D,W",0.020921251889949474,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2025-09-05T00:00:00"", ""zone_valid_to"": ""2025-09-11T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
NVDA::20250905::support::4::failed_breakout_down::2025-09-09T00:00:00,NVDA,NVDA::20250905::support::4,"NVDA::support::171.3800::3.5850::avwap_D,vp_D,vp_W::D,W",2025-09-09,failed_breakout_down,down,170.75999450683594,169.5856093978882,0.006925028091224174,87,2,87,2,2,False,,,composite,support,"D,W",0.020921251889949474,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""failed_breakout_down"", ""zone_valid_from"": ""2025-09-05T00:00:00"", ""zone_valid_to"": ""2025-09-11T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
NVDA::20250905::support::4::test::2025-09-09T00:00:00,NVDA,NVDA::20250905::support::4,"NVDA::support::171.3800::3.5850::avwap_D,vp_D,vp_W::D,W",2025-09-09,test,down,170.75999450683594,169.5856093978882,0.006925028091224174,87,2,87,2,1,False,1.0,1.0,composite,support,"D,W",0.020921251889949474,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-05T00:00:00"", ""zone_valid_to"": ""2025-09-11T23:59:59.999999""}",failed_hold,0,1,0,0.11882179197487393,0.11882179197487393,0.006932225794115382,1.0,1,11.827601133958161
NVDA::20250912::support::4::probe::2025-09-17T00:00:00,NVDA,NVDA::20250912::support::4,NVDA::support::175.5850::2.9600::avwap_D::D,2025-09-17,probe,down,170.2899932861328,174.10302649333866,-0.0219010162201387,93,3,93,0,0,True,,,cost,support,D,0.016861423967649943,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-12T00:00:00"", ""zone_valid_to"": ""2025-09-18T23:59:59.999999""}",failed_hold,0,1,0,0.14874627300321458,0.14874627300321458,0.006565191900987464,1.0,1,14.849411948242462
NVDA::20250912::support::4::test::2025-09-18T00:00:00,NVDA,NVDA::20250912::support::4,NVDA::support::175.5850::2.9600::avwap_D::D,2025-09-18,test,down,176.24000549316406,174.10302649333866,0.01227422086144588,94,4,94,1,1,False,1.0,1.0,cost,support,D,0.016861423967649943,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-12T00:00:00"", ""zone_valid_to"": ""2025-09-18T23:59:59.999999""}",failed_hold,0,1,0,0.10996362358133915,0.10996362358133915,0.005588769076127399,1.0,1,11.049260832043723
NVDA::20250919::resistance::1::probe::2025-09-22T00:00:00,NVDA,NVDA::20250919::resistance::1,"NVDA::resistance::178.9500::7.7425::vp_D,vp_W::D,W",2025-09-22,probe,up,183.61000061035156,182.82350862979888,0.004301919301555785,96,1,96,0,0,True,,,composite,resistance,"D,W",0.04326536512332792,2,"{""source_reason"": ""vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-19T00:00:00"", ""zone_valid_to"": ""2025-09-25T23:59:59.999999""}",failed_hold,0,1,0,0.05707747776647097,0.05707747776647097,0.06999365991438415,1.0,1,0.6082549834963649
NVDA::20250919::support::4::test::2025-09-25T00:00:00,NVDA,NVDA::20250919::support::4,"NVDA::support::175.3300::3.0150::avwap_D,vp_D::D",2025-09-25,test,down,177.69000244140625,173.82046662489572,0.022261681214220803,99,4,99,0,0,True,,,composite,support,D,0.01719396607072967,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-19T00:00:00"", ""zone_valid_to"": ""2025-09-25T23:59:59.999999""}",hold,1,0,0,0.10090602976773391,0.10090602976773391,0.0,1.0,1,10.590602976773392
NVDA::20250926::resistance::1::test::2025-09-29T00:00:00,NVDA,NVDA::20250926::resistance::1,"NVDA::resistance::179.0050::7.7625::avwap_D,vp_W::D,W",2025-09-29,test,up,181.85000610351562,182.88502027352652,-0.005659370944995431,101,1,101,0,0,True,,,composite,resistance,"D,W",0.04336994812060508,2,"{""source_reason"": ""avwap_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-26T00:00:00"", ""zone_valid_to"": ""2025-10-02T23:59:59.999999""}",failed_hold,0,1,0,0.02799016456332846,0.02799016456332846,0.06963377768509577,11.0,1,-2.271685758474815
NVDA::20250926::resistance::1::probe::2025-09-30T00:00:00,NVDA,NVDA::20250926::resistance::1,"NVDA::resistance::179.0050::7.7625::avwap_D,vp_W::D,W",2025-09-30,probe,up,186.5800018310547,182.88502027352652,0.020203850222406828,102,2,102,1,1,False,1.0,1.0,composite,resistance,"D,W",0.04336994812060508,2,"{""source_reason"": ""avwap_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-26T00:00:00"", ""zone_valid_to"": ""2025-10-02T23:59:59.999999""}",failed_hold,0,1,0,0.05263161768596516,0.05263161768596516,0.11080718143371802,1.0,1,-3.1014127461009258
NVDA::20250926::resistance::1::breakout_up::2025-10-01T00:00:00,NVDA,NVDA::20250926::resistance::1,"NVDA::resistance::179.0050::7.7625::avwap_D,vp_W::D,W",2025-10-01,breakout_up,up,187.24000549316406,182.88502027352652,0.023812695064495373,103,3,103,2,1,False,1.0,1.0,composite,resistance,"D,W",0.04336994812060508,2,"{""source_reason"": ""avwap_D,vp_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-09-26T00:00:00"", ""zone_valid_to"": ""2025-10-02T23:59:59.999999""}",not_applicable,0,0,0,,,,,0,
NVDA::20251017::resistance::1::test::2025-10-20T00:00:00,NVDA,NVDA::20251017::resistance::1,"NVDA::resistance::182.6750::4.0400::avwap_D,vp_D::D",2025-10-20,test,up,182.63999938964844,184.69348630095973,-0.011118350475907528,116,1,116,0,0,True,,,composite,resistance,D,0.022121873245585212,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-10-17T00:00:00"", ""zone_valid_to"": ""2025-10-23T23:59:59.999999""}",failed_hold,0,1,0,0.03219450778834028,0.03219450778834028,0.14887648011387197,1.0,1,-8.19066763027573
