zone_id,structural_zone_key,ticker,valid_from,valid_to,zone_class,side,lower,upper,center,timeframe,source_reason,confluence_count,metadata
NVDA::20251121::resistance::1,"NVDA::resistance::185.4950::20.6150::avwap_D,vp_D,vp_W::D,W",NVDA,2025-11-21,2025-11-30 23:59:59.999999,composite,resistance,175.1894310760498,195.8032098197937,185.49632044792173,"D,W","avwap_D,vp_D,vp_W",3,"{'institutional_score': 88.14777596496063, 'structural_score': 85.77777596496063, 'touch_count': 24, 'reaction_score': 1.1850000000000005, 'source_label': 'avwap_D, vp_D, vp_W', 'source_types': ['avwap_D', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
NVDA::20251121::support::2,NVDA::support::172.5800::2.8925::avwap_D::D,NVDA,2025-11-21,2025-11-30 23:59:59.999999,cost,support,171.13480142702852,174.02852813107953,172.58166477905402,D,avwap_D,1,"{'institutional_score': 43.85465356496028, 'structural_score': 37.97465356496028, 'touch_count': 10, 'reaction_score': 2.9400000000000004, 'source_label': 'avwap_D', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251201::resistance::1,NVDA::resistance::177.2000::1.7725::avwap_D::D,NVDA,2025-12-01,2025-12-03 23:59:59.999999,cost,resistance,176.3150253875955,178.08703569299846,177.20103054029698,D,avwap_D,1,"{'institutional_score': 162.65763034164758, 'structural_score': 158.45147649549372, 'touch_count': 13, 'reaction_score': 2.1030769230769235, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251201::resistance::2,"NVDA::resistance::185.0800::19.5575::avwap_D,avwap_W,vp_D,vp_W::D,W",NVDA,2025-12-01,2025-12-03 23:59:59.999999,composite,resistance,175.29930483500164,194.85721432526907,185.07825958013535,"D,W","avwap_D,avwap_W,vp_D,vp_W",4,"{'institutional_score': 69.3018717606484, 'structural_score': 67.1658717606484, 'touch_count': 25, 'reaction_score': 1.0680000000000005, 'source_label': 'avwap_D, avwap_W, vp_D, vp_W', 'source_types': ['avwap_D', 'avwap_W', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
NVDA::20251201::support::3,NVDA::support::167.9900::3.2950::avwap_W::W,NVDA,2025-12-01,2025-12-03 23:59:59.999999,cost,support,166.3436036481467,169.63881102826087,167.9912073382038,W,avwap_W,1,"{'institutional_score': 41.56161550792201, 'structural_score': 34.96161550792201, 'touch_count': 7, 'reaction_score': 3.3000000000000003, 'source_label': 'avwap_W', 'source_types': ['avwap_W'], 'timeframes': ['W']}"
NVDA::20251201::support::4,NVDA::support::174.5050::1.7450::avwap_D::D,NVDA,2025-12-01,2025-12-03 23:59:59.999999,cost,support,173.6334471144942,175.3785068844891,174.50597699949165,D,avwap_D,1,"{'institutional_score': 119.0107063071204, 'structural_score': 112.8907063071204, 'touch_count': 9, 'reaction_score': 3.0600000000000005, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251204::resistance::1,"NVDA::resistance::182.2250::14.8450::avwap_D,avwap_W,vp_D,vp_W::D,W",NVDA,2025-12-04,,composite,resistance,174.80077427546183,189.64569416178526,182.22323421862353,"D,W","avwap_D,avwap_W,vp_D,vp_W",4,"{'institutional_score': 140.43513922374552, 'structural_score': 137.9151392237455, 'touch_count': 24, 'reaction_score': 1.2600000000000007, 'source_label': 'avwap_D, avwap_W, vp_D, vp_W', 'source_types': ['avwap_D', 'avwap_W', 'vp_D', 'vp_W'], 'timeframes': ['D', 'W']}"
NVDA::20251204::support::2,NVDA::support::168.2200::3.2725::avwap_W::W,NVDA,2025-12-04,,cost,support,166.58117199148907,169.85405316432,168.21761257790453,W,avwap_W,1,"{'institutional_score': 35.303644601944086, 'structural_score': 28.943644601944087, 'touch_count': 8, 'reaction_score': 3.1800000000000006, 'source_label': 'avwap_W', 'source_types': ['avwap_W'], 'timeframes': ['W']}"
NVDA::20251204::support::3,NVDA::support::175.5350::1.7550::avwap_D::D,NVDA,2025-12-04,,cost,support,174.6574695877922,176.41282104093585,175.53514531436403,D,avwap_D,1,"{'institutional_score': 76.1149014394497, 'structural_score': 71.0149014394497, 'touch_count': 12, 'reaction_score': 2.55, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
NVDA::20251204::support::4,NVDA::support::178.5900::1.7850::avwap_D::D,NVDA,2025-12-04,,cost,support,177.69759916850398,179.48350468778546,178.59055192814472,D,avwap_D,1,"{'institutional_score': 163.1372346887865, 'structural_score': 158.45723468878649, 'touch_count': 15, 'reaction_score': 2.3400000000000003, 'source_label': 'AVWAP (D)', 'source_types': ['avwap_D'], 'timeframes': ['D']}"
