event_id,ticker,zone_id,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,is_first_test,prior_test_count,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json,label,success_flag,failure_flag,unresolved_flag,max_favorable_excursion,max_adverse_excursion,follow_through_pct,reentry_flag,bars_to_reentry,bars_to_target,outcome_window_end
AMZN::20250811::resistance::1::test::2025-08-15T00:00:00,AMZN,AMZN::20250811::resistance::1,2025-08-15,test,up,231.02999877929688,233.50541585842768,-0.010601112055711936,4,True,0,inventory,resistance,D,0.012254038553314603,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-08-11T00:00:00"", ""zone_valid_to"": ""2025-08-17T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250902::resistance::1::probe::2025-09-04T00:00:00,AMZN,AMZN::20250902::resistance::1,2025-09-04,probe,up,235.67999267578125,233.49495335817338,0.009357972350931703,2,True,0,inventory,resistance,D,0.030470915914604615,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-02T00:00:00"", ""zone_valid_to"": ""2025-09-08T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250902::resistance::1::test::2025-09-05T00:00:00,AMZN,AMZN::20250902::resistance::1,2025-09-05,test,up,232.3300018310547,233.49495335817338,-0.004989193600821395,3,False,1,inventory,resistance,D,0.030470915914604615,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-02T00:00:00"", ""zone_valid_to"": ""2025-09-08T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250916::resistance::1::probe::2025-09-16T00:00:00,AMZN,AMZN::20250916::resistance::1,2025-09-16,probe,up,234.0500030517578,232.9538641574439,0.004705390478404295,0,True,0,cost,resistance,D,0.009999999999999887,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-16T00:00:00"", ""zone_valid_to"": ""2025-09-22T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250916::resistance::1::test::2025-09-17T00:00:00,AMZN,AMZN::20250916::resistance::1,2025-09-17,test,up,231.6199951171875,232.9538641574439,-0.005725893601639857,1,False,1,cost,resistance,D,0.009999999999999887,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-16T00:00:00"", ""zone_valid_to"": ""2025-09-22T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250923::support::3::probe::2025-09-25T00:00:00,AMZN,AMZN::20250923::support::3,2025-09-25,probe,down,218.14999389648438,219.34125915686232,-0.005431104320988742,2,True,0,composite,support,"D,W",0.010256044254779608,2,"{""source_reason"": ""avwap_D,avwap_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-23T00:00:00"", ""zone_valid_to"": ""2025-09-29T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250923::support::4::test::2025-09-25T00:00:00,AMZN,AMZN::20250923::support::4,2025-09-25,test,down,218.14999389648438,218.34474431037904,-0.000891940012157231,2,True,0,composite,support,"D,W",0.08092691991435337,2,"{""source_reason"": ""avwap_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-23T00:00:00"", ""zone_valid_to"": ""2025-09-29T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250923::support::3::test::2025-09-26T00:00:00,AMZN,AMZN::20250923::support::3,2025-09-26,test,down,219.77999877929688,219.34125915686232,0.002000260343726705,3,False,1,composite,support,"D,W",0.010256044254779608,2,"{""source_reason"": ""avwap_D,avwap_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-23T00:00:00"", ""zone_valid_to"": ""2025-09-29T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250930::support::3::test::2025-09-30T00:00:00,AMZN,AMZN::20250930::support::3,2025-09-30,test,down,219.57000732421875,219.09667077382406,0.002160400469449953,0,True,0,composite,support,"D,W",0.014225839676086162,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-30T00:00:00"", ""zone_valid_to"": ""2025-10-06T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
AMZN::20250930::support::3::test::2025-10-06T00:00:00,AMZN,AMZN::20250930::support::3,2025-10-06,test,down,220.89999389648438,219.09667077382406,0.008230718962050807,4,False,1,composite,support,"D,W",0.014225839676086162,3,"{""source_reason"": ""avwap_D,avwap_W,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-30T00:00:00"", ""zone_valid_to"": ""2025-10-06T23:59:59.999999""}",not_applicable,0,0,0,,,,0,,,
